Rank,Player,Club,GAMES,INNS,NOT OUTS,RUNS,HIGH SCORE,AVG,50s,100s,STRIKE RATE,4s,6s,DUCKS,BOWLED,CAUGHT,LBW,STUMPED,RUN OUT,DID NOT BAT(%),GAMES WON(%),GAMES LOST(%),GAMES DRAWN(%),TEAM RUNS(%)
1,Player_421,Club_15,19,16,8,393,73,49.13,2,0,118.48,58,11,1,4,2,1,0,1,3(15.79%),12(63.16%),5(26.32%),0(0.00%),18.18
2,Player_005,Club_14,17,16,10,369,36,61.5,0,0,137.69,43,12,1,3,1,0,0,2,1(5.88%),13(76.47%),4(23.53%),0(0.00%),18.62
3,Player_247,Club_29,13,13,9,339,33,84.75,0,0,152.36,60,5,1,3,1,0,0,0,0(0.00%),8(61.54%),5(38.46%),0(0.00%),25.22
4,Player_032,Club_14,19,17,9,327,33,40.88,0,0,102.36,47,2,0,5,2,1,0,0,2(10.53%),15(78.95%),4(21.05%),0(0.00%),14.64
5,Player_195,Club_43,14,14,7,325,33,46.43,0,0,95.59,49,1,1,2,4,0,0,0,0(0.00%),4(28.57%),10(71.43%),0(0.00%),25.83
6,Player_301,Club_11,12,12,8,299,32,74.75,0,0,106.03,42,3,0,2,2,0,0,0,0(0.00%),6(50.00%),6(50.00%),0(0.00%),24.88
7,Player_253,Club_36,17,14,7,298,33,42.57,0,0,106.05,29,8,0,3,3,0,1,0,3(17.65%),15(88.24%),2(11.76%),0(0.00%),14.71
8,Player_231,Club_39,13,13,8,295,34,59.0,0,0,76.62,31,1,0,1,0,0,0,4,0(0.00%),10(76.92%),3(23.08%),0(0.00%),23.83
9,Player_149,Club_34,13,13,10,289,35,96.33,0,0,114.68,36,8,0,2,1,0,0,0,0(0.00%),11(84.62%),2(15.38%),0(0.00%),22.95
10,Player_362,Club_34,15,15,7,280,33,35.0,0,0,128.44,44,3,3,7,1,0,0,0,0(0.00%),12(80.00%),3(20.00%),0(0.00%),18.84
11,Player_194,Club_16,14,13,7,280,33,46.67,0,0,81.85,39,1,0,2,1,1,0,2,1(7.14%),10(71.43%),2(14.29%),0(0.00%),17.52
12,Player_379,Club_36,16,13,10,279,33,93.0,0,0,108.14,29,0,0,0,1,0,0,2,3(18.75%),14(87.50%),2(12.50%),0(0.00%),15.41
13,Player_029,Club_47,11,11,8,272,33,90.67,0,0,90.97,38,2,1,2,1,0,0,0,0(0.00%),8(72.73%),3(27.27%),0(0.00%),23.31
14,Player_309,Club_22,14,14,7,270,33,38.57,0,0,132.35,40,7,0,5,1,0,0,1,0(0.00%),12(85.71%),2(14.29%),0(0.00%),16.97
15,Player_115,Club_37,10,9,8,266,32,266.0,0,0,136.41,45,4,0,0,1,0,0,0,1(10.00%),9(90.00%),1(10.00%),0(0.00%),25.45
16,Player_386,Club_07,11,10,7,264,33,88.0,0,0,100.43,45,0,1,1,2,0,0,0,1(9.09%),10(90.91%),1(9.09%),0(0.00%),26.69
17,Player_414,Club_36,16,12,6,251,35,41.83,0,0,108.19,37,3,2,4,0,1,0,1,4(25.00%),14(87.50%),2(12.50%),0(0.00%),13.29
18,Player_152,Club_08,13,13,7,250,33,41.67,0,0,122.55,36,5,0,4,2,0,0,0,0(0.00%),4(30.77%),9(69.23%),0(0.00%),21.66
19,Player_316,Club_24,10,10,8,245,32,122.5,0,0,155.06,38,5,1,2,0,0,0,0,0(0.00%),3(30.00%),7(70.00%),0(0.00%),38.52
20,Player_186,Club_28,15,15,6,244,35,27.11,0,0,83.85,24,13,3,5,2,1,0,1,0(0.00%),2(13.33%),13(86.67%),0(0.00%),25.13
21,Player_367,Club_29,14,14,6,243,33,30.38,0,0,69.41,27,0,1,4,3,0,0,1,0(0.00%),8(57.14%),6(42.86%),0(0.00%),16.69
22,Player_137,Club_14,15,14,6,242,32,30.25,0,0,93.8,38,0,1,2,5,1,0,0,1(6.67%),12(80.00%),3(20.00%),0(0.00%),13.51
23,Player_384,Club_06,10,9,7,241,33,120.5,0,0,130.19,31,5,0,1,1,0,0,0,1(10.00%),8(80.00%),2(20.00%),0(0.00%),21.38
24,Player_373,Club_42,13,13,3,237,32,23.7,0,0,78.48,33,5,0,4,1,1,2,2,0(0.00%),7(53.85%),6(46.15%),0(0.00%),16.8
25,Player_095,Club_47,10,10,5,230,33,46.0,0,0,100.48,33,2,0,2,2,1,0,0,0(0.00%),7(70.00%),3(30.00%),0(0.00%),21.58
26,Player_260,Club_12,10,10,5,221,33,44.2,0,0,96.93,31,0,1,1,3,0,0,1,0(0.00%),9(90.00%),1(10.00%),0(0.00%),18.46
27,Player_117,Club_29,14,14,8,216,32,36.0,0,0,154.29,36,3,3,2,4,0,0,0,0(0.00%),8(57.14%),6(42.86%),0(0.00%),14.84
28,Player_306,Club_01,10,9,3,216,32,36.0,0,0,90.73,49,5,0,1,4,1,0,0,1(10.00%),7(70.00%),3(30.00%),0(0.00%),22.93
29,Player_229,Club_13,11,10,8,213,33,106.5,0,0,80.08,29,0,0,1,1,0,0,0,1(9.09%),8(72.73%),3(27.27%),0(0.00%),19.52
30,Player_390,Club_36,15,12,8,213,33,53.25,0,0,97.26,25,0,0,2,1,0,0,1,3(20.00%),14(93.33%),1(6.67%),0(0.00%),12.65
31,Player_288,Club_48,13,10,8,212,35,106.0,0,0,175,21,9,2,1,1,0,0,0,3(23.08%),12(92.31%),1(7.69%),0(0.00%),16.23
32,Player_419,Club_12,12,12,6,208,31,34.67,0,0,95.41,34,0,0,2,3,0,0,1,0(0.00%),9(75.00%),3(25.00%),0(0.00%),15.29
