Rank,Player,Club,OVERS,MAIDENS,RUNS,WICKETS,BEST BOWLING,5 WICKET HAUL,ECONOMY RATE,STRIKE RATE,AVERAGE,% BOWLED,% CAUGHT,% LBW,% STUMPED,% TEAM WICKET
1,Player_203,Club_49,30.0,10,77,23,6/0,1,2.57,7.83,3.35,86.96,13.04,0.0,0.0,30.67
2,Player_421,Club_15,45.0,5,202,21,3/2,0,4.49,12.86,9.62,52.38,42.86,4.76,0.0,17.5
3,Player_379,Club_36,31.0,4,139,20,4/16,0,4.48,9.3,6.95,50.0,25.0,15.0,10.0,21.05
4,Player_409,Club_14,36.3,4,148,18,3/1,0,4.05,12.17,8.22,61.11,33.33,5.56,0.0,18.75
5,Player_171,Club_45,27.0,5,116,16,3/10,0,4.3,10.13,7.25,62.5,6.25,0.0,0.0,25.4
6,Player_135,Club_29,32.0,4,150,16,3/18,0,4.69,12.0,9.38,68.75,25.0,6.25,0.0,19.28
7,Player_365,Club_37,26.0,4,105,15,4/1,0,4.04,10.4,7.0,60.0,33.33,6.67,0.0,21.74
8,Player_270,Club_45,28.0,3,60,15,4/3,0,2.14,11.2,4.0,66.67,26.67,0.0,0.0,20.0
9,Player_316,Club_24,22.0,3,95,14,4/11,0,4.32,9.43,6.79,57.14,35.71,0.0,0.0,25.93
10,Player_242,Club_46,24.5,4,111,14,6/18,1,4.47,10.64,7.93,85.71,14.29,0.0,0.0,21.54
11,Player_094,Club_13,30.0,3,109,14,2/9,0,3.63,12.86,7.79,57.14,42.86,0.0,0.0,17.95
12,Player_152,Club_08,34.0,3,140,14,4/13,0,4.12,14.57,10.0,78.57,14.29,7.14,0.0,23.73
13,Player_032,Club_14,38.0,3,138,14,3/5,0,3.63,16.29,9.86,50.0,50.0,0.0,0.0,11.29
14,Player_047,Club_05,23.0,8,68,13,3/2,0,2.96,10.62,5.23,53.85,30.77,15.38,0.0,27.66
15,Player_234,Club_48,30.0,6,101,13,3/2,0,3.37,13.85,7.77,61.54,23.08,0.0,0.0,12.38
16,Player_180,Club_40,31.4,2,179,13,4/22,0,5.65,14.62,13.77,76.92,23.08,0.0,0.0,20.97
17,Player_137,Club_14,32.0,5,120,13,3/4,0,3.75,14.77,9.23,38.46,46.15,15.38,0.0,13.98
