Rank,Player,Club,WICKET KEEPING CATCHES,STUMPINGS,TOTAL WICKET KEEPING WICKETS,FIELDING CATCHES,RUN OUTS,TOTAL FIELDING WICKETS,TOTAL CATCHES,TOTAL VICTIMS
1,Player_175,Club_28,1,0,1,10,1,11,11,12
2,Player_348,Club_44,5,3,8,0,4,4,5,12
3,Player_024,Club_36,1,9,10,0,2,2,1,12
4,Player_124,Club_48,8,1,9,0,3,3,8,12
5,Player_260,Club_12,0,0,0,11,1,12,11,12
6,Player_386,Club_07,6,4,10,1,1,2,7,12
7,Player_005,Club_14,0,0,0,9,2,11,9,11
8,Player_149,Club_34,0,0,0,10,1,11,10,11
9,Player_013,Club_21,1,0,1,9,1,10,10,11
10,Player_316,Club_24,0,0,0,9,1,10,9,10
11,Player_204,Club_14,5,3,8,0,2,2,5,10
12,Player_418,Club_48,0,0,0,8,2,10,8,10
13,Player_247,Club_29,1,0,1,8,1,9,9,10
14,Player_396,Club_32,6,1,7,0,3,3,6,10
15,Player_152,Club_08,1,0,1,5,3,8,6,9
16,Player_011,Club_46,0,0,0,8,1,9,8,9
17,Player_379,Club_36,0,0,0,8,1,9,8,9
18,Player_003,Club_02,0,0,0,5,3,8,5,8
19,Player_129,Club_39,0,0,0,7,1,8,7,8
20,Player_086,Club_13,0,0,0,7,1,8,7,8
21,Player_249,Club_14,3,0,3,0,5,5,3,8
22,Player_362,Club_34,0,0,0,6,2,8,6,8
23,Player_140,Club_16,0,0,0,7,1,8,7,8
24,Player_139,Club_07,0,0,0,7,0,7,7,7
25,Player_404,Club_42,5,2,7,0,0,0,5,7
26,Player_115,Club_37,0,0,0,6,1,7,6,7
27,Player_165,Club_07,0,0,0,6,1,7,6,7
28,Player_047,Club_05,0,0,0,6,1,7,6,7
29,Player_346,Club_26,7,0,7,0,0,0,7,7
30,Player_117,Club_29,0,0,0,6,1,7,6,7
31,Player_211,Club_20,0,0,0,6,1,7,6,7
32,Player_027,Club_37,4,0,4,0,2,2,4,6
33,Player_317,Club_22,2,3,5,0,1,1,2,6
34,Player_309,Club_22,1,3,4,1,1,2,2,6
35,Player_108,Club_38,0,0,0,5,1,6,5,6
36,Player_194,Club_16,0,1,1,2,3,5,2,6
37,Player_036,Club_33,5,1,6,0,0,0,5,6
38,Player_398,Club_11,0,0,0,6,0,6,6,6
