Rank_bat,Player,Club,GAMES_bat,INNS_bat,NOT OUTS_bat,RUNS_bat,HIGH SCORE_bat,AVG_bat,50s_bat,100s_bat,STRIKE RATE_bat,4s_bat,6s_bat,DUCKS_bat,BOWLED_bat,CAUGHT_bat,LBW_bat,STUMPED_bat,RUN OUT_bat,DID NOT BAT(%)_bat,GAMES WON(%)_bat,GAMES LOST(%)_bat,GAMES DRAWN(%)_bat,TEAM RUNS(%)_bat,Rank_bowl,OVERS_bowl,MAIDENS_bowl,RUNS_bowl,WICKETS_bowl,5 WICKET HAUL_bowl,ECONOMY RATE_bowl,STRIKE RATE_bowl,AVERAGE_bowl,% BOWLED_bowl,% CAUGHT_bowl,% LBW_bowl,% STUMPED_bowl,% TEAM WICKET_bowl,best_wkts_bowl,best_runs_bowl,Rank_field,WICKET KEEPING CATCHES_field,STUMPINGS_field,TOTAL WICKET KEEPING WICKETS_field,FIELDING CATCHES_field,RUN OUTS_field,TOTAL FIELDING WICKETS_field,TOTAL CATCHES_field,TOTAL VICTIMS_field,final_score_model,bat_score,bowl_score,field_score,allrounder_target
2.0,Player_005,Club_14,17.0,16.0,10.0,369.0,36.0,61.5,0.0,0.0,137.69,43.0,12.0,1.0,3.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,18.62,102.0,30.0,3.0,147.0,8.0,0.0,4.9,22.5,18.38,50.0,50.0,0.0,0.0,8.51,3.0,13.0,7.0,0.0,0.0,0.0,9.0,2.0,11.0,9.0,11.0,0.7853956169268799,0.811504675687069,0.8409678730245695,0.8751423672404776,0.8425383053173721
19.0,Player_316,Club_24,10.0,10.0,8.0,245.0,32.0,122.5,0.0,0.0,155.06,38.0,5.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.52,9.0,22.0,3.0,95.0,14.0,0.0,4.32,9.43,6.79,57.14,35.71,0.0,0.0,25.93,4.0,11.0,10.0,0.0,0.0,0.0,9.0,1.0,10.0,9.0,10.0,0.7368830887313016,0.7108407210789832,0.7959500640789864,0.7878653218721867,0.764885369010052
12.0,Player_379,Club_36,16.0,13.0,10.0,279.0,33.0,93.0,0.0,0.0,108.14,29.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,15.41,3.0,31.0,4.0,139.0,20.0,0.0,4.48,9.3,6.95,50.0,25.0,15.0,10.0,21.05,4.0,16.0,17.0,0.0,0.0,0.0,8.0,1.0,9.0,8.0,9.0,0.7329278975592165,0.608686939506126,0.9498742092888917,0.7163896789899468,0.7583169425949882
1.0,Player_421,Club_15,19.0,16.0,8.0,393.0,73.0,49.13,2.0,0.0,118.48,58.0,11.0,1.0,4.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,18.18,2.0,45.0,5.0,202.0,21.0,0.0,4.49,12.86,9.62,52.38,42.86,4.76,0.0,17.5,3.0,2.0,74.0,0.0,0.0,0.0,5.0,0.0,5.0,5.0,5.0,0.7257139215275928,1.0,0.95720025280182,0.43956922061445475,0.7989231578054249
3.0,Player_247,Club_29,13.0,13.0,9.0,339.0,33.0,84.75,0.0,0.0,152.36,60.0,5.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.22,162.0,23.0,5.0,83.0,6.0,0.0,3.61,23.0,13.83,83.33,16.67,0.0,0.0,8.96,2.0,2.0,13.0,1.0,0.0,1.0,8.0,1.0,9.0,9.0,10.0,0.7225159222559185,0.7621700141705093,0.6734164900026424,0.7961808053986353,0.743922436523929
18.0,Player_152,Club_08,13.0,13.0,7.0,250.0,33.0,41.67,0.0,0.0,122.55,36.0,5.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.66,12.0,34.0,3.0,140.0,14.0,0.0,4.12,14.57,10.0,78.57,14.29,7.14,0.0,23.73,4.0,13.0,15.0,1.0,0.0,1.0,5.0,3.0,8.0,6.0,9.0,0.7204900368993465,0.6243257191765748,0.9015269215051936,0.7465053704183847,0.7574526703667178
9.0,Player_149,Club_34,13.0,13.0,10.0,289.0,35.0,96.33,0.0,0.0,114.68,36.0,8.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.95,46.0,27.0,2.0,75.0,10.0,0.0,2.78,16.2,7.5,30.0,70.0,0.0,0.0,10.64,2.0,4.0,8.0,0.0,0.0,0.0,10.0,1.0,11.0,10.0,11.0,0.7204000124821441,0.7187523520048028,0.6125587044443949,0.8631111943967776,0.7314740836153252
84.0,Player_175,Club_28,15.0,15.0,1.0,142.0,30.0,10.14,0.0,0.0,81.61,20.0,1.0,4.0,9.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,14.62,304.0,30.5,4.0,104.0,3.0,0.0,3.37,61.67,34.67,66.67,33.33,0.0,0.0,4.23,1.0,7.0,1.0,1.0,0.0,1.0,10.0,1.0,11.0,11.0,12.0,0.6935598203879889,0.4318563116988357,0.8707561333539391,0.9406401830200553,0.7477508760242767
26.0,Player_260,Club_12,10.0,10.0,5.0,221.0,33.0,44.2,0.0,0.0,96.93,31.0,0.0,1.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,18.46,63.0,24.3,1.0,82.0,9.0,0.0,3.35,16.33,9.11,88.89,11.11,0.0,0.0,14.06,3.0,7.0,5.0,0.0,0.0,0.0,11.0,1.0,12.0,11.0,12.0,0.6798456229184179,0.48949182187909424,0.6583823305472907,0.9376030209928982,0.6951590578064276
10.0,Player_362,Club_34,15.0,15.0,7.0,280.0,33.0,35.0,0.0,0.0,128.44,44.0,3.0,3.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.84,174.0,29.0,8.0,83.0,6.0,0.0,2.86,29.0,13.83,83.33,16.67,0.0,0.0,6.59,2.0,0.0,22.0,0.0,0.0,0.0,6.0,2.0,8.0,6.0,8.0,0.6683342594381552,0.6392021707778749,0.7189510564618381,0.6561911630229368,0.6714481300875499
