Rank_bat,Player,Club,GAMES_bat,INNS_bat,NOT OUTS_bat,RUNS_bat,HIGH SCORE_bat,AVG_bat,50s_bat,100s_bat,STRIKE RATE_bat,4s_bat,6s_bat,DUCKS_bat,BOWLED_bat,CAUGHT_bat,LBW_bat,STUMPED_bat,RUN OUT_bat,DID NOT BAT(%)_bat,GAMES WON(%)_bat,GAMES LOST(%)_bat,GAMES DRAWN(%)_bat,TEAM RUNS(%)_bat,Rank_bowl,OVERS_bowl,MAIDENS_bowl,RUNS_bowl,WICKETS_bowl,5 WICKET HAUL_bowl,ECONOMY RATE_bowl,STRIKE RATE_bowl,AVERAGE_bowl,% BOWLED_bowl,% CAUGHT_bowl,% LBW_bowl,% STUMPED_bowl,% TEAM WICKET_bowl,best_wkts_bowl,best_runs_bowl,Rank_field,WICKET KEEPING CATCHES_field,STUMPINGS_field,TOTAL WICKET KEEPING WICKETS_field,FIELDING CATCHES_field,RUN OUTS_field,TOTAL FIELDING WICKETS_field,TOTAL CATCHES_field,TOTAL VICTIMS_field,final_score_model,bat_score,bowl_score,field_score,allrounder_target
245.0,Player_170,Club_43,15.0,11.0,4.0,46.0,17.0,6.57,0.0,0.0,32.39,5.0,0.0,3.0,2.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.42,218.0,30.0,1.0,216.0,5.0,0.0,7.2,36.0,43.2,60.0,40.0,0.0,0.0,8.93,2.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3844189734961884,0.2535773834466385,1.0,0.0,0.4178591278155461
51.0,Player_203,Club_49,12.0,12.0,7.0,176.0,33.0,35.2,0.0,0.0,64.89,22.0,3.0,2.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,20.78,1.0,30.0,10.0,77.0,23.0,1.0,2.57,7.83,3.35,86.96,13.04,0.0,0.0,30.67,6.0,0.0,66.0,0.0,0.0,0.0,3.0,2.0,5.0,3.0,5.0,0.6113564782483597,0.5083123738102961,0.994053417316261,0.45910729073103307,0.6538243606191968
324.0,Player_180,Club_40,11.0,9.0,3.0,19.0,8.0,3.17,0.0,0.0,30.65,3.0,0.0,3.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.63,16.0,31.4,2.0,179.0,13.0,0.0,5.65,14.62,13.77,76.92,23.08,0.0,0.0,20.97,4.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35233857650529693,0.15007257828261017,0.9729207092915286,0.0,0.3743310958580463
151.0,Player_242,Club_46,9.0,9.0,1.0,92.0,29.0,11.5,0.0,0.0,85.44,10.0,3.0,1.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,10.42,10.0,24.5,4.0,111.0,14.0,1.0,4.47,10.64,7.93,85.71,14.29,0.0,0.0,21.54,6.0,18.0,98.0,0.0,0.0,0.0,3.0,1.0,4.0,3.0,4.0,0.5243243807703993,0.34720086109065457,0.962202847574481,0.3936975772883792,0.5677004286511717
1.0,Player_421,Club_15,19.0,16.0,8.0,393.0,73.0,49.13,2.0,0.0,118.48,58.0,11.0,1.0,4.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,18.18,2.0,45.0,5.0,202.0,21.0,0.0,4.49,12.86,9.62,52.38,42.86,4.76,0.0,17.5,3.0,2.0,74.0,0.0,0.0,0.0,5.0,0.0,5.0,5.0,5.0,0.7257139215275928,1.0,0.95720025280182,0.43956922061445475,0.7989231578054249
97.0,Player_003,Club_02,12.0,12.0,3.0,132.0,32.0,14.67,0.0,0.0,55.23,19.0,0.0,2.0,7.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,15.81,49.0,30.0,2.0,169.0,10.0,1.0,5.63,18.0,16.9,60.0,30.0,0.0,0.0,15.87,5.0,11.0,18.0,0.0,0.0,0.0,5.0,3.0,8.0,5.0,8.0,0.6292522094248671,0.38275988671431516,0.953338268940554,0.665960198081226,0.6673527845786985
38.0,Player_181,Club_36,20.0,12.0,7.0,195.0,34.0,39.0,0.0,0.0,133.56,25.0,6.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7.95,18.0,40.0,7.0,161.0,13.0,0.0,4.03,18.46,12.38,23.08,46.15,7.69,23.08,9.49,3.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4681225097166064,0.5763499286272717,0.9514073039123836,0.0,0.5092524108465518
12.0,Player_379,Club_36,16.0,13.0,10.0,279.0,33.0,93.0,0.0,0.0,108.14,29.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,15.41,3.0,31.0,4.0,139.0,20.0,0.0,4.48,9.3,6.95,50.0,25.0,15.0,10.0,21.05,4.0,16.0,17.0,0.0,0.0,0.0,8.0,1.0,9.0,8.0,9.0,0.7329278975592165,0.608686939506126,0.9498742092888917,0.7163896789899468,0.7583169425949882
99.0,Player_119,Club_08,11.0,11.0,1.0,132.0,30.0,13.2,0.0,0.0,69.11,16.0,3.0,2.0,7.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12.45,126.0,24.0,3.0,160.0,7.0,0.0,6.67,20.57,22.86,28.57,71.43,0.0,0.0,10.61,2.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40699227680581584,0.38885155901338897,0.9243331519207327,0.0,0.4377282369780406
50.0,Player_214,Club_10,11.0,11.0,3.0,180.0,34.0,22.5,0.0,0.0,72.0,25.0,3.0,1.0,5.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,15.41,103.0,30.0,3.0,152.0,8.0,0.0,5.07,22.5,19.0,75.0,25.0,0.0,0.0,13.56,2.0,27.0,135.0,0.0,0.0,0.0,2.0,1.0,3.0,2.0,3.0,0.5457920887764139,0.4648180042749738,0.9123685026304218,0.34484331226024656,0.5740099397218806
