Rank_bat,Player,Club,GAMES_bat,INNS_bat,NOT OUTS_bat,RUNS_bat,HIGH SCORE_bat,AVG_bat,50s_bat,100s_bat,STRIKE RATE_bat,4s_bat,6s_bat,DUCKS_bat,BOWLED_bat,CAUGHT_bat,LBW_bat,STUMPED_bat,RUN OUT_bat,DID NOT BAT(%)_bat,GAMES WON(%)_bat,GAMES LOST(%)_bat,GAMES DRAWN(%)_bat,TEAM RUNS(%)_bat,Rank_bowl,OVERS_bowl,MAIDENS_bowl,RUNS_bowl,WICKETS_bowl,5 WICKET HAUL_bowl,ECONOMY RATE_bowl,STRIKE RATE_bowl,AVERAGE_bowl,% BOWLED_bowl,% CAUGHT_bowl,% LBW_bowl,% STUMPED_bowl,% TEAM WICKET_bowl,best_wkts_bowl,best_runs_bowl,Rank_field,WICKET KEEPING CATCHES_field,STUMPINGS_field,TOTAL WICKET KEEPING WICKETS_field,FIELDING CATCHES_field,RUN OUTS_field,TOTAL FIELDING WICKETS_field,TOTAL CATCHES_field,TOTAL VICTIMS_field,final_score_model,bat_score,bowl_score,field_score,allrounder_target
33.0,Player_124,Club_48,12.0,12.0,8.0,206.0,30.0,51.5,0.0,0.0,98.73,23.0,2.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,8.0,1.0,9.0,0.0,3.0,3.0,8.0,12.0,0.4413611222748946,0.5220315682856959,0.0,1.0,0.507343856095232
178.0,Player_348,Club_44,9.0,9.0,1.0,76.0,30.0,9.5,0.0,0.0,66.67,6.0,0.0,2.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,3.0,8.0,0.0,4.0,4.0,5.0,12.0,0.3700894852034042,0.26418330069757073,0.0,0.9714247326179685,0.4118693444385131
84.0,Player_175,Club_28,15.0,15.0,1.0,142.0,30.0,10.14,0.0,0.0,81.61,20.0,1.0,4.0,9.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,14.62,304.0,30.5,4.0,104.0,3.0,0.0,3.37,61.67,34.67,66.67,33.33,0.0,0.0,4.23,1.0,7.0,1.0,1.0,0.0,1.0,10.0,1.0,11.0,11.0,12.0,0.6935598203879889,0.4318563116988357,0.8707561333539391,0.9406401830200553,0.7477508760242767
26.0,Player_260,Club_12,10.0,10.0,5.0,221.0,33.0,44.2,0.0,0.0,96.93,31.0,0.0,1.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,18.46,63.0,24.3,1.0,82.0,9.0,0.0,3.35,16.33,9.11,88.89,11.11,0.0,0.0,14.06,3.0,7.0,5.0,0.0,0.0,0.0,11.0,1.0,12.0,11.0,12.0,0.6798456229184179,0.48949182187909424,0.6583823305472907,0.9376030209928982,0.6951590578064276
16.0,Player_386,Club_07,11.0,10.0,7.0,264.0,33.0,88.0,0.0,0.0,100.43,45.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.69,138.0,8.0,2.0,21.0,6.0,0.0,2.63,8.0,3.5,83.33,16.67,0.0,0.0,40.0,3.0,1.0,6.0,6.0,4.0,10.0,1.0,1.0,2.0,7.0,12.0,0.6531545839467057,0.5999275758786039,0.5918876932360564,0.9312924272193038,0.7077025654446548
2.0,Player_005,Club_14,17.0,16.0,10.0,369.0,36.0,61.5,0.0,0.0,137.69,43.0,12.0,1.0,3.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,18.62,102.0,30.0,3.0,147.0,8.0,0.0,4.9,22.5,18.38,50.0,50.0,0.0,0.0,8.51,3.0,13.0,7.0,0.0,0.0,0.0,9.0,2.0,11.0,9.0,11.0,0.7853956169268799,0.811504675687069,0.8409678730245695,0.8751423672404776,0.8425383053173721
75.0,Player_013,Club_21,10.0,10.0,2.0,150.0,33.0,18.75,0.0,0.0,78.13,19.0,3.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.38,245.0,19.0,2.0,62.0,4.0,0.0,3.26,28.5,15.5,50.0,25.0,0.0,0.0,8.51,2.0,8.0,9.0,1.0,0.0,1.0,9.0,1.0,10.0,10.0,11.0,0.6409812699192645,0.4101333606952584,0.6299725881154649,0.869918586066286,0.6366748449590031
9.0,Player_149,Club_34,13.0,13.0,10.0,289.0,35.0,96.33,0.0,0.0,114.68,36.0,8.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.95,46.0,27.0,2.0,75.0,10.0,0.0,2.78,16.2,7.5,30.0,70.0,0.0,0.0,10.64,2.0,4.0,8.0,0.0,0.0,0.0,10.0,1.0,11.0,10.0,11.0,0.7204000124821441,0.7187523520048028,0.6125587044443949,0.8631111943967776,0.7314740836153252
127.0,Player_024,Club_36,16.0,13.0,4.0,109.0,30.0,12.11,0.0,0.0,89.34,9.0,0.0,0.0,2.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,9.0,10.0,0.0,2.0,2.0,1.0,12.0,0.3793685953602344,0.3829292008516563,0.0,0.8573178868155057,0.413415695889054
186.0,Player_396,Club_32,14.0,12.0,2.0,71.0,25.0,7.1,0.0,0.0,54.2,7.0,2.0,5.0,3.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,6.0,1.0,7.0,0.0,3.0,3.0,6.0,10.0,0.3683030130910843,0.3221673631879128,0.0,0.8419258390395634,0.3880310674091587
